ID,category,issue_title,severity,affected_area,description,why_it_matters,recommended_action,owner_suggestion
LQA-001,Visual Identity,فیوآیکن اجرایی هنوز legacy است,Critical,"templates/base.html; templates/dashboard_template.html; static/images/icons/favicon.png","فیوآیکن runtime تصویر زن/قیچی صورتی است و با glyph برگ/گل Loomera در favicon pack هم‌خوان نیست.","اولین touchpoint مرورگر/PWA با هویت اشتباه دیده می‌شود و اعتماد launch را کم می‌کند.","کپی کامل loomera-favicon-pack به static/branding/favicon و جایگزینی head با head-favicon-snippet.html.",frontend/design
LQA-002,Implementation,توکن‌های canonical Loomera وارد Tailwind runtime نشده‌اند,High,"tailwind.config.js; static/css/output.css; templates/**/*","runtime هنوز namespace و رنگ‌های legacy-design-namespace را استفاده می‌کند؛ docs/design-system توکن‌های Loomera را دارد اما build config با آن sync نیست.","باعث drift بصری، leakage نام قدیمی و inconsistency بین docs و محصول می‌شود.","افزودن theme.loomera به tailwind.config، نگه‌داشتن legacy-design-namespace فقط alias موقت، rebuild output.css.",frontend/design
LQA-003,Naming,کلاس‌ها و utilityهای legacy-design-namespace در product surfaces باقی مانده‌اند,High,"112 فایل، به‌ویژه templates/dashboards, templates/orders, templates/components","حدود 854 occurrence از legacy-design-namespace در loomera.zip دیده شد.","legacy naming در کد نگهداری، handoff و QA بعدی را مبهم می‌کند.","rename مرحله‌ای bg/text/border-legacy-design-namespace-* به loomera-* با alias compatibility حداکثر یک release.",frontend
LQA-004,Typography,سیستم تایپوگرافی به runtime وصل نیست,High,"docs/design-system/loomera-typography.css; templates/base.html; static/css/","فایل typography در docs وجود دارد اما در static/css نیست و base.html آن را load نمی‌کند.","فارسی/RTL، line-height، numerals و hierarchy واقعی محصول با guideline یکی نمی‌شود.","انتقال loomera-typography.css به static/css و افزودن link پس از output.css در base و dashboard_template.",frontend/design
LQA-005,Meta/OG,OG images و meta social runtime وجود ندارد,High,"templates/base.html; docs/brand/asset-pack-reference.md; files.zip","asset-pack-reference به Og Images.zip ارجاع می‌دهد اما در ZIP فعلی OG/social/launch assets پیدا نشد و base.html هم meta og/twitter ندارد.","share preview، SEO و launch social consistency آماده نیست.","تولید/بازیابی Og Images.zip و افزودن block canonical meta در base.html با تصویر default و page-level override.",frontend/marketing
LQA-006,Logo Assets,لوگوهای master نام‌گذاری canonical ندارند,Medium,"files_zip/Logo/ChatGPT Image Apr 23...png","لوگوها timestamp/generic filename دارند و نسخه SVG یا manifest روشن کنارشان نیست.","handoff و import به repo را خطاپذیر می‌کند.","rename طبق asset-pack-reference و ساخت manifest: primary, dark, mono, glyph.",design
LQA-007,Product Framing,UI هنوز بیش از حد salon-first است,High,"show_salons, detail_salon, booking, dashboard, models/forms","متن‌های user-facing زیادی از سالن/آرایشگر استفاده می‌کنند، درحالی‌که scope canonical شامل beauty, treatments, massage, wellness است.","Loomera به category narrow تبدیل می‌شود و positioning گسترده برند تضعیف می‌شود.","در UI از مرکز/ارائه‌دهنده/متخصص استفاده شود؛ salon/stylist فقط internal model بماند.",content/product/frontend
LQA-008,Home/Landing,صفحه home خالی است,Critical,"templates/pages/home.html","فایل home.html صفر بایت است و landing canonical/launch hero پیاده نشده.","برای launch عمومی، مسیر اصلی برند آماده نیست.","ساخت landing/launch hero RTL بر اساس Core Copy Pack و Launch Hero assets.",frontend/marketing/design
LQA-009,Dashboard,داشبورد با Dashboard Visual Kit sync نشده,Medium,"templates/dashboards/**/*; files_zip/loomera-dashboard-visual-kit-package","Dashboard Visual Kit وجود دارد اما runtime هنوز slate/gray/legacy-design-namespace و labelهای salon-first دارد.","partner/provider experience کمتر premium و کمتر canonical می‌شود.","اعمال tokenها، component variants و copy naming از visual kit روی داشبورد.",frontend/design/product
LQA-010,Checkout,Checkout Kit کامل است اما implementation partial است,High,"templates/orders/checkout.html; templates/payments/*; apps/orders/forms.py","checkout docs state-led هستند اما template/runtime هنوز legacy-design-namespace classes و pay-in-salon/salon wording دارد.","checkout touchpoint حساس‌ترین نقطه trust است؛ drift آن launch risk است.","بازنویسی UI checkout با tokenها، reassurance copy و email/notification state mapping.",frontend/content/product
LQA-011,Email/CRM,CRM templates به notification/email runtime وصل نیستند,High,"apps/orders/lifecycle.py; loomera_crm_template_set_final","CRM Template Set کامل است، اما lifecycle email با send_mail ساده و بدون header/template system ارسال می‌شود.","ایمیل‌های واقعی با visual/header و tone canonical هم‌راستا نخواهند بود.","افزودن template renderer، channel variants و email header HTML به notification pipeline.",frontend/backend/content
LQA-012,Domain/Email,.env.example هنوز domain placeholder دارد,Medium,".env.example; settings/base.py; loomera-domain-email-system.md","domain/email system loomera.ir را canonical می‌داند ولی env نمونه your-domain.com دارد و sender email config روشن نیست.","handoff و prelive setup ممکن است با دامنه غیرcanonical انجام شود.","به‌روزرسانی env.example با loomera.ir/app.loomera.ir/help.loomera.ir و DEFAULT_FROM_EMAIL پیشنهادی.",ops/backend
LQA-013,Assets,Social Media Template Kit و Launch Hero در ZIP فعلی پیدا نشدند,High,"files.zip; source assets","در فهرست ZIP فعلی خروجی‌های social media kit و launch hero banner وجود ندارد.","launch marketing بسته کامل ندارد و consistency share/social ناقص می‌ماند.","بازیابی/تولید بسته‌ها و import به static/branding/social و docs/marketing.",marketing/design
